Num,Lat,Lon,Value
761,-5.25,-74.75,4
762,-4.75,-74.75,4
763,-4.25,-74.75,4
764,-3.75,-74.75,4
765,-3.25,-74.75,4
766,-2.75,-74.75,5
767,-2.25,-74.75,5
768,-1.75,-74.75,5
769,-1.25,-74.75,5
770,-0.75,-74.75,5
771,-0.25,-74.75,5
772,0.25,-74.75,5
773,0.75,-74.75,5
774,1.25,-74.75,5
775,1.75,-74.75,5
776,2.25,-74.75,5
777,2.75,-74.75,3
778,3.25,-74.75,3
779,3.75,-74.75,1
780,4.25,-74.75,3
781,4.75,-74.75,3
782,5.25,-74.75,2
783,5.75,-74.75,5
784,6.25,-74.75,5
795,-16.25,-74.25,3
796,-15.75,-74.25,3
797,-15.25,-74.25,3
798,-14.75,-74.25,3
799,-14.25,-74.25,3
800,-13.75,-74.25,3
801,-13.25,-74.25,3
802,-12.75,-74.25,3
803,-12.25,-74.25,3
804,-11.75,-74.25,1
805,-11.25,-74.25,1
806,-10.75,-74.25,1
807,-10.25,-74.25,4
808,-9.75,-74.25,1
809,-9.25,-74.25,1
810,-8.75,-74.25,1
811,-8.25,-74.25,1
812,-7.75,-74.25,1
813,-7.25,-74.25,4
814,-6.75,-74.25,4
815,-6.25,-74.25,4
816,-5.75,-74.25,4
817,-5.25,-74.25,4
818,-4.75,-74.25,4
819,-4.25,-74.25,4
820,-3.75,-74.25,4
821,-3.25,-74.25,4
822,-2.75,-74.25,5
823,-2.25,-74.25,5
824,-1.75,-74.25,5
825,-1.25,-74.25,5
826,-0.75,-74.25,5
827,-0.25,-74.25,5
828,0.25,-74.25,5
829,0.75,-74.25,5
830,1.25,-74.25,5
831,1.75,-74.25,5
832,2.25,-74.25,5
833,2.75,-74.25,2
834,3.25,-74.25,2
835,3.75,-74.25,2
836,4.25,-74.25,3
837,4.75,-74.25,3
838,5.25,-74.25,2
839,5.75,-74.25,2
840,6.25,-74.25,5
851,-16.25,-73.75,3
852,-15.75,-73.75,3
853,-15.25,-73.75,3
854,-14.75,-73.75,3
855,-14.25,-73.75,3
856,-13.75,-73.75,3
857,-13.25,-73.75,3
858,-12.75,-73.75,1
859,-12.25,-73.75,1
860,-11.75,-73.75,1
861,-11.25,-73.75,1
862,-10.75,-73.75,1
863,-10.25,-73.75,1
864,-9.75,-73.75,1
865,-9.25,-73.75,1
866,-8.75,-73.75,1
867,-8.25,-73.75,1
868,-7.75,-73.75,4
869,-7.25,-73.75,4
870,-6.75,-73.75,4
871,-6.25,-73.75,4
872,-5.75,-73.75,4
873,-5.25,-73.75,4
874,-4.75,-73.75,4
875,-4.25,-73.75,4
876,-3.75,-73.75,4
877,-3.25,-73.75,4
878,-2.75,-73.75,4
879,-2.25,-73.75,2
880,-1.75,-73.75,2
881,-1.25,-73.75,5
882,-0.75,-73.75,5
883,-0.25,-73.75,5
884,0.25,-73.75,5
885,0.75,-73.75,5
886,1.25,-73.75,5
887,1.75,-73.75,5
888,2.25,-73.75,5
889,2.75,-73.75,5
890,3.25,-73.75,5
891,3.75,-73.75,5
892,4.25,-73.75,5
893,4.75,-73.75,2
894,5.25,-73.75,3
895,5.75,-73.75,2
896,6.25,-73.75,5
906,-16.75,-73.25,3
907,-16.25,-73.25,3
908,-15.75,-73.25,3
909,-15.25,-73.25,3
910,-14.75,-73.25,3
911,-14.25,-73.25,3
912,-13.75,-73.25,3
913,-13.25,-73.25,3
914,-12.75,-73.25,1
915,-12.25,-73.25,1
916,-11.75,-73.25,1
917,-11.25,-73.25,1
918,-10.75,-73.25,1
919,-10.25,-73.25,1
920,-9.75,-73.25,1
921,-9.25,-73.25,1
922,-8.75,-73.25,1
923,-8.25,-73.25,4
924,-7.75,-73.25,4
925,-7.25,-73.25,4
926,-6.75,-73.25,4
927,-6.25,-73.25,4
928,-5.75,-73.25,4
929,-5.25,-73.25,4
930,-4.75,-73.25,4
931,-4.25,-73.25,4
932,-3.75,-73.25,4
933,-3.25,-73.25,4
934,-2.75,-73.25,4
935,-2.25,-73.25,2
936,-1.75,-73.25,2
937,-1.25,-73.25,5
938,-0.75,-73.25,5
939,-0.25,-73.25,5
940,0.25,-73.25,5
941,0.75,-73.25,5
942,1.25,-73.25,5
943,1.75,-73.25,5
944,2.25,-73.25,5
945,2.75,-73.25,5
946,3.25,-73.25,5
947,3.75,-73.25,5
948,4.25,-73.25,5
949,4.75,-73.25,5
950,5.25,-73.25,2
951,5.75,-73.25,3
952,6.25,-73.25,2
962,-16.75,-72.75,3
963,-16.25,-72.75,3
964,-15.75,-72.75,3
965,-15.25,-72.75,3
966,-14.75,-72.75,3
967,-14.25,-72.75,3
968,-13.75,-72.75,3
969,-13.25,-72.75,3
970,-12.75,-72.75,1
971,-12.25,-72.75,1
972,-11.75,-72.75,1
973,-11.25,-72.75,1
974,-10.75,-72.75,1
975,-10.25,-72.75,1
976,-9.75,-72.75,1
977,-9.25,-72.75,1
978,-8.75,-72.75,1
979,-8.25,-72.75,4
980,-7.75,-72.75,4
981,-7.25,-72.75,4
982,-6.75,-72.75,4
983,-6.25,-72.75,4
984,-5.75,-72.75,4
985,-5.25,-72.75,4
986,-4.75,-72.75,4
987,-4.25,-72.75,4
988,-3.75,-72.75,4
989,-3.25,-72.75,4
990,-2.75,-72.75,4
991,-2.25,-72.75,2
992,-1.75,-72.75,2
993,-1.25,-72.75,2
994,-0.75,-72.75,5
995,-0.25,-72.75,5
996,0.25,-72.75,5
997,0.75,-72.75,5
998,1.25,-72.75,5
999,1.75,-72.75,5
1000,2.25,-72.75,5
1001,2.75,-72.75,5
